signature,stem,mean_accuracy,stem_short
Would you not like to have Drug addicts as neighbours?|||Would not like as neighbours || Would like as neighbours,Would you not like to have Drug addicts as neighbours?,0.9,Would you not like to have Drug addicts as neighbours?
Would you not like to have Heavy drinkers as neighbours?|||Would not like as neighbours || Would like as neighbours,Would you not like to have Heavy drinkers as neighbours?,0.8571428571428571,Would you not like to have Heavy drinkers as neighbours?
Is 'Good manners' among the top five qualities children should learn at home?|||Mentioned || Not mentioned,Is 'Good manners' among the top five qualities children should learn at home?,0.82,Is 'Good manners' among the top five qualities children should learn at home?
Would you not like to have People who speak a different language as neighbours?|||Would not like as neighbours || Would like as neighbours,Would you not like to have People who speak a different language as neighbours?,0.8163265306122449,Would you not like to have People who speak a different language as neighbours?
Is 'Not being selfish (unselfishness)' among the top five qualities?|||Mentioned || Not mentioned,Is 'Not being selfish (unselfishness)' among the top five qualities?,0.79,Is 'Not being selfish (unselfishness)' among the top five qualities?
Is 'Hard work' among the top five qualities children should learn at home?|||Mentioned || Not mentioned,Is 'Hard work' among the top five qualities children should learn at home?,0.78,Is 'Hard work' among the top five qualities children should learn at home?
Would you not like to have People of a different race as neighbours?|||Would not like as neighbours || Would like as neighbours,Would you not like to have People of a different race as neighbours?,0.7676767676767676,Would you not like to have People of a different race as neighbours?
Would you not like to have People of a different religion as neighbours?|||Would not like as neighbours || Would like as neighbours,Would you not like to have People of a different religion as neighbours?,0.7525773195876289,Would you not like to have People of a different religion as neighbours?
Is 'Imagination' among the top five qualities children should learn at home?|||Mentioned || Not mentioned,Is 'Imagination' among the top five qualities children should learn at home?,0.75,Is 'Imagination' among the top five qualities children should learn at home?
Is 'Obedience' among the top five qualities?|||Mentioned || Not mentioned,Is 'Obedience' among the top five qualities?,0.75,Is 'Obedience' among the top five qualities?
Is 'Religious faith' among the top five qualities?|||Mentioned || Not mentioned,Is 'Religious faith' among the top five qualities?,0.74,Is 'Religious faith' among the top five qualities?
"Is 'Thrift, saving money and things' among the top five qualities?|||Mentioned || Not mentioned","Is 'Thrift, saving money and things' among the top five qualities?",0.68,"Is 'Thrift, saving money and things' among the top five qualities?"
Is 'Feeling of responsibility' among the top five qualities children should learn at home?|||Mentioned || Not mentioned,Is 'Feeling of responsibility' among the top five qualities children should learn at home?,0.66,Is 'Feeling of responsibility' among the top five qualities children should learn at home?
Is 'Independence' among the top five qualities children should learn at home?|||Mentioned || Not mentioned,Is 'Independence' among the top five qualities children should learn at home?,0.61,Is 'Independence' among the top five qualities children should learn at home?
Is 'Tolerance and respect for other people' among the top five qualities?|||Mentioned || Not mentioned,Is 'Tolerance and respect for other people' among the top five qualities?,0.58,Is 'Tolerance and respect for other people' among the top five qualities?
